method,target_sparsity,seed,memorized,grokked,memorization_step,grokking_step,grokking_gap,final_train_acc,final_val_acc,phase_input_sparsity,summary_sha256,summary_source
one_shot,0.8,4,True,True,140,470,330,1.0,0.9985122210414453,0.0,28e7eeb06dcd6a80bdc2ed35da34742528459c2db66f63d1456cb6b63ef5ccf2,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.80/seed_4/oneshot_pretrain/summary.json
one_shot,0.9,0,True,True,150,980,830,1.0,0.9961742826780021,0.0,4e73f0a07703ee7dc2416890f72a4b8ead9a921f19a4d1db1d37d49d18234b27,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_0/oneshot_pretrain/summary.json
one_shot,0.9,1,True,True,150,935,785,1.0,0.9989373007438895,0.0,b875060faab0eabc21b1caa1ccd1aa34c28aa603b0beaee3261986fc4ac017bb,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_1/oneshot_pretrain/summary.json
one_shot,0.9,2,True,True,145,965,820,1.0,0.9995749202975558,0.0,645d51f97d8f18d1e97eebb4fa535e2791ddc51258333fb59580dbbb7b6a8ecf,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_2/oneshot_pretrain/summary.json
one_shot,0.9,3,True,True,175,690,515,1.0,0.9970244420828905,0.0,d95f5b6969af6c11c2336481b2085992923ef68f319949de13de81862901168a,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_3/oneshot_pretrain/summary.json
one_shot,0.9,4,True,True,140,470,330,1.0,0.9985122210414453,0.0,28e7eeb06dcd6a80bdc2ed35da34742528459c2db66f63d1456cb6b63ef5ccf2,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.90/seed_4/oneshot_pretrain/summary.json
one_shot,0.95,0,True,True,150,980,830,1.0,0.9961742826780021,0.0,4e73f0a07703ee7dc2416890f72a4b8ead9a921f19a4d1db1d37d49d18234b27,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_0/oneshot_pretrain/summary.json
one_shot,0.95,1,True,True,150,935,785,1.0,0.9989373007438895,0.0,b875060faab0eabc21b1caa1ccd1aa34c28aa603b0beaee3261986fc4ac017bb,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_1/oneshot_pretrain/summary.json
one_shot,0.95,2,True,True,145,965,820,1.0,0.9995749202975558,0.0,645d51f97d8f18d1e97eebb4fa535e2791ddc51258333fb59580dbbb7b6a8ecf,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_2/oneshot_pretrain/summary.json
one_shot,0.95,3,True,True,175,690,515,1.0,0.9970244420828905,0.0,d95f5b6969af6c11c2336481b2085992923ef68f319949de13de81862901168a,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_3/oneshot_pretrain/summary.json
one_shot,0.95,4,True,True,140,470,330,1.0,0.9985122210414453,0.0,28e7eeb06dcd6a80bdc2ed35da34742528459c2db66f63d1456cb6b63ef5ccf2,res/raw/exp_b_sp_90_95.zip!exp_b/one_shot/sp_0.95/seed_4/oneshot_pretrain/summary.json
